,0
38404,Q9KTT8
12116,Q8ELT8
98184,P02093
300095,Q60287
119066,P11346
19349,Q52CS0
276141,Q6SWB9
130621,Q7VMV4
87666,Q12247
196288,P85111
243262,Q8BUE1
38548,Q9BMK9
301618,Q3A587
41455,B5YEA6
42050,Q09300
251809,P70297
49756,P15483
31921,O60729
244404,O74536
144398,Q9ZT63
79935,A2C5D5
157612,E6Y8S8
142067,A5UEK6
170552,P95505
106145,P20270
121444,B3N899
28695,Q4H4E5
19127,Q9QXA6
220617,A2SD39
185637,Q63FA5
1938,P0AC29
103422,A6Q4V9
200006,Q8TPT7
272069,Q6B4T5
41980,Q67XD9
240665,Q8K1J5
100222,P0C1V1
96024,P03644
151945,Q8VCR8
7077,P35602
153817,Q56226
152233,Q9ZV06
159556,Q1LT95
78835,O08458
156046,Q7RZ85
242370,A7GZ96
542,Q8TDX5
212264,B3PMM9
26369,Q9VKY2
170638,Q5LVJ2
261542,Q7W2X4
3410,A6VWL7
141710,Q96LA9
64905,Q034X8
28788,Q12500
274317,Q0ATQ2
54271,P73418
100717,P60803
112366,Q8NMF0
5038,P0C9J8
216391,P73308
10239,G3KIM8
287123,Q680K8
76918,Q5DTI8
10731,Q0CDB3
58559,Q8JMY7
90962,B2RIF9
133306,A7MFW6
115494,H2ER22
270807,B7J4T0
130653,A8F811
198326,Q7T037
30413,Q3J278
132115,P0DOE6
239409,Q9UN76
255187,B1JP69
54582,A1S647
245012,B3WDY6
251707,Q9FG24
311825,Q9Z0U1
200323,Q9SSN0
298413,P55423
91616,Q2KU87
125675,A1L1J9
219913,A5IS95
104239,B5FR34
16263,Q9UR08
299338,O13657
289447,Q9PLQ3
223159,B0SSF5
85198,Q5U4N7
207340,Q4L898
227792,B6ISV1
13182,P73809
9338,P59828
265895,A2C5B5
165526,Q34879
27058,Q87UC3
145321,Q9ICP7
238943,Q4R5Y4
157190,Q90YC9
75103,P57177
147336,Q03QF3
20844,Q1DFA0
167919,Q42858
206711,B1HMV4
142778,Q1QYT5
26583,Q9I8T7
293533,O27741
152889,Q9CNU2
113995,A3CT21
28864,C0JB48
181934,A9HEC6
99227,O15218
148738,A9NKD9
93220,O84587
112458,A5IMJ0
41695,Q9YGK4
303987,Q9RN19
120728,Q6MEF6
271792,Q8K9F4
254137,A0R7H5
100896,Q93352
292636,A0AM40
75397,Q9ZFU8
17416,Q6MAK5
68474,P38246
232936,Q057A0
177028,Q8GUK6
171,A7MIZ2
93418,Q8LFJ9
86374,Q8D3J1
39962,A7Z4R7
218725,Q8UGF0
237599,Q8ZRT8
2466,P0C9J6
98240,Q6NU05
21491,P39981
186772,B8HVD7
128785,Q42891
209550,P51415
213448,B8GKD3
80746,P21295
122814,Q814J0
28547,P54934
121608,Q3B1C1
317664,Q8R205
16489,Q8EQB6
173659,Q02332
2686,Q3V1N9
179954,Q1QI14
155945,Q13423
223149,A6T3I1
200936,A6LQK4
116723,Q0P5J6
302333,Q9ZR15
239349,Q1DRJ3
53931,P41744
146794,Q9P7C2
79816,A6SZ52
244184,Q9C6H2
145417,Q11TN7
236712,A5EXH7
283886,Q4JC68
1669,P31440
203646,Q5PA74
220749,B2A3L2
117932,P59849
280658,B6EM11
38156,Q2S5Z8
32828,Q8IVW4
142943,Q6D1Z4
205722,B0Z5G7
37238,Q6GM07
153940,A8GYV7
146298,A5WBC5
197652,A4Y7D1
240453,B1HSU6
147719,O30640
164329,P0ADA7
85307,A7I6L7
301629,B9MRM7
94143,Q5T6J7
70299,Q6AX80
93526,Q8CXP9
150909,Q4L9T8
136188,Q13434
295002,B9L985
215669,A1T0M6
36866,Q8NDM7
82550,P18477
28880,Q7T3S5
104222,Q6FRG0
305864,Q5UQF8
302119,P59631
147613,C5CC88
51657,P74548
248464,Q9PW73
260916,P70323
13771,Q7N8V9
39609,B4K5X8
300847,Q9C9N5
44711,Q5XJK9
299238,P44084
21038,B9DME2
129701,Q3MHD2
115,Q740F6
313967,O34763
91469,P04093
15270,Q75KP8
138702,Q9NU22
302698,O28420
276458,Q8XAG1
264504,Q9D305
147438,Q1GXL1
61762,B5Z6Y6
201197,Q9FWT5
266227,A1K2H9
57502,P14776
261647,P29481
194079,A9FI02
296246,P74514
198334,A9NEP7
114714,Q4L7T9
259385,Q07N50
136812,Q4KK46
37110,B2WFD4
171667,P0DKU2
287648,A8A8M4
95448,A4XYF7
158566,P03031
291346,P11265
198795,A0M6N1
275495,B5ZAU8
289843,P24651
226074,Q38UQ8
54301,B4RZ25
21533,C0JB91
79120,A0QMB9
35239,P25940
440,B1XKV6
155857,P0A9I9
25997,Q8R164
93764,A4WG31
251623,B7Z0I7
255617,Q883H9
201644,Q06994
278395,Q8AYG3
292177,Q3V4W9
180752,Q6FKI2
13955,A4G9B1
141791,C1A2R3
150707,A4SFT1
114711,A1RRZ8
176856,Q9S0X3
129852,C1IIX1
3032,B2UJF2
40794,Q6MIK8
309429,P76356
198689,C5BS80
77994,Q13642
281897,P26538
176513,F4J7A7
147184,P9WJJ9
299948,P75515
230600,B3QMU5
187855,P77935
281667,A9KJR6
295888,A1JJF0
164663,B9MEY1
63595,P0CY46
224414,C3PPC3
206,P22922
256517,B1L826
166718,F7A4A7
35490,Q2JMP3
128527,A0RQX4
130759,Q5S006
126972,Q9SN23
193595,Q1ZXP3
61046,P30721
187399,Q85CD4
111579,A7TQS6
58365,O08356
214259,A6Q6I1
83430,Q4FL49
184041,A6W970
163407,B5XXK6
207334,B1Y8V2
156719,A0QW18
147622,A7VN13
97480,B2VG55
265038,Q9VJ29
282465,Q00115
30057,A8AX83
183083,P94459
111927,Q9AR86
132634,O06989
262676,A8F2K6
166384,Q1B321
211099,A1WEE7
52023,B0UTE2
186767,Q09MI2
53549,P47295
228930,A9BCM6
22675,B0RHD5
318098,P94502
56959,Q8Z0C1
187536,Q8ELT4
118558,Q15SQ6
34281,P36883
123265,O84254
44291,Q17QH6
47103,C0HKQ1
161516,A1K9S9
173616,A5GKT4
26194,Q7TPS5
243693,Q9BQB4
60052,P0DI18
198122,P36176
274004,O27520
208972,Q9VZS5
147585,Q31FG2
110361,P45385
250845,Q7UH38
144420,Q9KCC6
262994,Q91VL8
260391,Q3U0Y2
185734,O28533
4291,P80922
295295,Q5M5Y6
170684,Q10X61
46441,B9N2D0
207671,Q7MA29
127197,Q1LTM4
43683,Q8R395
22243,O43861
290619,Q18B37
157913,A2T3N5
248277,B1Y7P2
304632,A8MUI8
199209,Q5PAH2
118177,Q9JYB5
258612,A1VKF9
194857,Q9ZIQ0
211660,Q3YRS7
271330,B0UU34
196825,Q2ABE5
160058,C6FX52
38846,A7I912
97221,Q8DGA5
109632,P26890
134060,Q2G946
206467,P49556
308840,P20927
191270,P19910
90777,Q8ZYW1
73303,C5DIF1
201476,O59309
290794,P9WLV6
293113,P53432
161290,P29420
86581,Q6LWL8
211163,Q8FIP7
147698,O42837
144104,D5UFA8
265886,Q5F8F6
99376,Q4V328
255949,A1KAU9
268092,B4NIY1
108385,Q1LLC3
148550,C0M7R0
253030,Q9DCS1
233167,Q11VU7
198421,Q9ZIS7
143267,O80961
273171,Q6AF66
56907,Q6GLM5
128690,O85066
196366,B9KHJ1
66552,Q9WUR2
63612,B4JTN0
160134,Q75R64
281802,Q00145
300851,Q8DST9
264192,P07887
90641,Q04EE0
53124,Q5R9B8
174958,Q18H36
44934,Q8DI74
215988,Q1H4P7
318047,P18743
124873,Q6FEW0
76205,Q13AH6
16294,A0LE33
59101,Q5N2P4
170548,Q7V872
149835,Q59523
296738,Q9CL02
171110,Q58HI1
159142,Q8XXQ8
7906,A8I5S8
66113,Q09163
148762,Q8GY42
251812,Q80TF6
37674,Q9IBD1
215960,A5IZ68
196900,P22173
255884,Q61X59
105742,A1JNA4
93507,A7MMY0
200617,P58139
128458,Q6BF25
49144,Q8TCG5
60412,Q5LLW6
148768,Q9LDY8
258100,B1XK79
18655,A6Q4C0
202797,Q3II28
15295,Q674R7
23379,Q88AE9
250836,P43659
288054,Q5JGV3
143510,Q30NY8
316604,P34550
102232,Q44264
150902,A4Y9F2
70835,Q54YW1
187276,Q8U0R7
53237,Q87WY7
237237,P0A212
161408,Q59646
257287,B3ELN3
35162,Q08CL8
207964,P49554
257313,Q2RHW0
18798,Q1L987
243956,P0CR72
132636,Q04JY5
168694,P0DKJ2
229107,O57030
60153,C5D512
107000,Q90X25
148031,Q9HVZ9
133563,O24766
316393,O06978
62962,B9JXE7
99299,Q6FTY5
126976,Q9ZUP0
160158,Q3IHN8
149473,Q98NA6
306747,Q08021
101538,Q2KI52
127304,B2B766
298582,Q3KI09
290505,Q57567
203650,C3LJ98
19939,Q2KV05
53793,Q6AJR0
279295,A8YUW0
55713,B1MYB5
79558,A8FAS0
210308,Q86T96
56881,Q03SA1
206482,Q5SD00
169696,Q9C0W9
14369,Q7NNP3
152257,Q55CT1
93903,Q8RF62
281606,Q6N3M9
19380,Q2G8R3
29579,Q0I2G0
50346,Q54EJ7
38585,P75247
243425,Q3MSU9
137031,B1XRT3
272348,Q15NR8
221005,A1SVE6
217887,Q6ANS2
44303,A0JNQ7
135912,Q3SGL1
40182,G2XQT1
108517,P9WQ75
120490,Q3LI59
122286,Q3A334
108743,Q54UK7
304010,B2IGI6
80333,A4XY05
205805,Q7N9A6
309967,Q9HDV0
15984,Q5DRQ4
254174,Q3JYR6
208757,A0LPF7
276865,O70405
254157,Q4FU71
138002,Q7ZYG5
247475,Q4UT03
80203,Q2RQF3
220177,Q5LIS2
272202,Q9LVP1
103956,Q47BS1
39462,C5CPP9
122483,Q9HXY8
41714,Q8XHC9
105936,Q0BPX3
205198,A8MB69
100069,A9BDS9
287801,A4F8Q9
119522,A2SJR1
272576,Q4QML9
217717,A8I6E6
207169,Q6F1X6
214171,O52333
13831,P08519
244178,Q9ZHD0
283299,P50814
130987,Q3SM28
191642,A1BDZ0
282975,P32228
117103,Q5Z2R3
248612,O30056
156126,Q9FNZ4
23871,Q2VZN1
13530,B8DC03
29903,O18737
170976,A5GPX7
283931,Q4HWE2
19717,Q4A603
249304,Q5YPP8
258912,Q645T3
208515,Q6A6R2
222587,Q4L8B3
39541,Q8TLG9
289567,Q3MED4
303291,Q8DME3
74380,A4W3N0
176986,Q2YCR1
198020,Q9HSS4
278321,P37917
242138,Q6L1F4
20710,A7TNK5
145429,Q04FK1
219760,B1WP07
237001,Q8R197
281511,B8I567
172942,Q8V3R4
21914,Q6ICH7
280521,Q05888
271307,B2T9N0
289317,P22857
309948,P52062
58670,Q566R7
78279,Q72JL7
312328,P0C2N2
207843,Q0BPF9
5584,P46730
102714,B9DIP1
166806,Q5Z8P0
128734,Q1QVT7
310856,P47059
282463,P26654
127967,Q96BZ8
311844,A0PJ23
304220,A8HRP6
251115,Q759G7
287939,B8GQ87
215739,Q21M37
315627,Q8DFQ4
121640,Q8DHB0
311907,Q9C1X5
19738,A1AXU3
311111,P19288
179163,Q28K17
62867,B8IZ52
84073,A7NQM8
1088,Q8IUA7
213767,B0KB08
178214,P34750
170188,O81760
114757,Q2W485
197580,Q5GUR8
211249,Q9PL10
180819,O05650
75002,P0CP97
271118,A6W3C7
263334,Q8E093
184203,Q45400
67097,Q8D2G3
92541,Q92ET8
278289,A2SFL8
277691,Q42541
24255,A9EXH2
220815,A8IQ73
52723,A1DE13
157416,Q4KH68
173757,Q98KL6
8099,Q7PLK0
179834,Q8R413
9898,Q9C6V4
269205,A9W0N8
4107,Q20507
89037,Q6EEV4
50499,P0DJB4
22945,Q5P4E4
235747,A9BIJ5
304526,O67059
296005,Q3JD89
226975,Q8TW18
208787,P15008
139377,Q71VV0
123819,P19256
277328,B4YNF3
19591,Q88UU4
197804,Q3AQK5
156032,P97459
299339,Q8SQU5
56931,Q2V3K1
216323,P47397
259871,Q3ECP0
65477,P58267
243012,O82039
45154,Q5N1X0
65338,A0RRG4
158396,A4G8R4
9990,Q0H8Y0
59256,B2RID1
105246,B8CH33
58917,Q9J592
188023,Q72GX5
265722,Q09654
19911,Q6A814
312810,O13912
163035,A4XC36
222928,A0LQM1
133509,Q99N03
279794,Q9LML6
130191,P95329
299389,Q8YPT9
255811,Q84HF6
231973,A5DKB1
112808,Q6PDM4
182227,P80760
26960,A0QWX4
311788,P51814
199049,B3EIC5
267221,Q8X723
113611,A6US28
99993,Q4QN69
5253,B1HNE3
242843,Q8XMY8
225784,Q7UKH4
23527,Q8TD16
230597,Q253R6
6108,A6VP88
14712,A1R705
30486,A6MMH8
303777,Q9ZKG7
193588,P0A182
1233,Q7U5H1
173151,Q04592
129079,A9SNJ1
233944,Q98F75
115727,Q8XZZ9
167597,Q0SH51
105150,O66821
133635,Q8LA53
195705,Q85G81
150081,B8D185
178785,Q51785
25751,A7ZMH9
9910,O95394
285189,Q9J590
189648,Q89X86
197593,Q757H6
200761,Q9WC58
207038,Q8WI00
137969,Q9RWB8
204344,B1YIP3
66535,Q03EE4
150968,F6V515
204718,Q2S3P6
52065,P54230
49611,A4TC38
125266,Q6C427
116289,B5L5R6
216108,A6LLT7
19279,P13638
317868,Q5UQH2
70163,K7IM66
290676,O67344
224982,Q057S8
77154,Q8K9J6
169460,Q9JKS6
142795,Q2U059
263256,A9VRN4
202272,Q8XHR6
228543,Q46GA1
126362,Q7M886
73346,Q78T81
105622,P41138
110113,Q3MAB0
55001,P91706
259081,Q1GV79
285497,Q9CAR4
290188,P25943
316260,A8EZB2
268610,Q8EJ86
278971,P74714
142918,Q0RQV5
12146,A7IGW4
53364,Q88B43
229854,Q98MB8
234318,Q88V67
9717,Q74LB3
21310,Q1XDP3
151307,Q2GFV4
107755,Q640Z7
5516,Q197E9
273636,Q2NWE6
128279,Q5L4V4
194927,A4YWC5
85292,Q9UWR6
217548,A4VNX4
294834,Q55FM1
113164,Q01QR0
253692,B1XY56
26128,B0Y9Q9
81764,D0N761
34872,A4KWA8
126850,Q3APU9
209316,A9NED6
147844,Q21U98
63968,B4MR74
171039,A5GLI2
287365,Q55FU3
292123,A4ZUC3
114376,Q9XB53
230292,B0C9F5
158986,Q9B6D6
108190,A1VR98
236776,C5D5E8
177813,Q8S7M7
182286,O81959
124276,Q96FV0
210085,Q6MS27
228035,A5EK52
190089,A0A1D6KL43
92732,Q03S32
239835,Q9BQF6
30926,P51678
91252,A1UL17
315057,E1BB03
59849,Q28I38
273186,Q8UIC9
191500,Q9ZZX8
209563,Q0TLY9
257993,B7IE30
67974,Q57901
195886,Q5N2W5
167735,Q9YGZ0
19438,A5CYE4
41018,A6YR34
169669,B1WUE0
274281,Q52725
123634,B3MFV7
102975,Q3STQ8
112062,P39936
196262,Q6LH11
121225,Q59645
166981,O83979
306917,Q03722
75510,A0RMK8
124054,G5ECX0
292640,A9IQD9
277907,Q7U482
79375,Q6L0R7
186014,Q9NZH5
203183,Q48VT3
182187,P41372
215718,Q2RYT6
120289,Q9BW19
258826,B1ZUZ4
276557,B5YUX6
202033,O26337
244679,Q71RQ1
7123,A4SR08
146974,Q5JJC6
238557,P18060
249820,O16259
306297,A4XYW3
25448,A7LXT7
244308,I1JLC8
61957,Q086F8
257343,Q30ZF7
257050,O23247
196502,A7HPP8
23297,Q9RBJ2
15813,Q892J3
237150,Q5A455
258209,C0R112
164696,O34246
10026,Q8GGJ7
220943,Q09251
232560,A0LWW8
15550,C5CHW9
100205,Q7VFZ3
315835,Q9P7X4
236489,Q5FI43
148092,B1MXW0
116807,O58998
70914,Q8U429
191935,Q0K1E0
41510,Q5FHH0
129741,B0UDF9
190136,Q116J3
18291,Q15TB5
252713,Q183H5
49284,Q9CAL3
283065,Q8BDG6
157763,Q9LCI8
313221,P47044
182015,A2BSS6
95855,Q3S2Y2
315494,Q8K0C5
141238,Q5ZX85
192135,A5CVN5
233412,Q91061
299512,A8GF88
108314,Q10439
287659,B2FU56
171802,A6L4C4
104580,A1K2R3
70471,C4LEP7
53418,P47352
127399,P57835
62158,O48901
283814,Q7EZ44
294089,B3QUL7
304265,Q3E8J4
154017,B0TB10
170190,Q653S3
310165,P39355
119938,Q9UX81
183818,Q5K4E3
73306,P33697
304839,Q8XAX1
172119,P23801
268741,Q44347
154086,O96064
98756,P40284
150592,Q67Q48
86693,B7KJ74
240610,Q8W2B8
173424,Q9MUS4
307735,G2TRL8
204176,A5UL77
160936,P59633
306875,P34362
207224,Q493I3
195308,Q5EA50
147347,P47374
135746,F4KFS7
90991,O19179
267885,P81348
95316,Q8NDV2
99138,P83341
235839,C4K4U7
